! version = 0.11.1
! unit = m
! diameter = False

# Internal geometry of the Besson trumpet E0925 from the "Musée de la Musique - Philharmonie de Paris"
# obtained from tomography, performed by Elsa Lambert for C2RMF lab. 
# More information on this instrument is available here:
# https://inria.hal.science/hal-04352706

#        x	         r
   0.01149	   0.00243
   0.01153	   0.00243
   0.01156	   0.00243
   0.01159	   0.00244
   0.01163	   0.00244
   0.01166	   0.00244
   0.01170	   0.00244
   0.01173	   0.00244
   0.01176	   0.00244
   0.01180	   0.00244
   0.01183	   0.00244
   0.01186	   0.00244
   0.01190	   0.00244
   0.01193	   0.00243
   0.01196	   0.00242
   0.01200	   0.00243
   0.01203	   0.00243
   0.01207	   0.00242
   0.01210	   0.00241
   0.01213	   0.00242
   0.01217	   0.00243
   0.01220	   0.00243
   0.01223	   0.00243
   0.01227	   0.00243
   0.01230	   0.00243
   0.01234	   0.00243
   0.01237	   0.00244
   0.01240	   0.00243
   0.01244	   0.00243
   0.01247	   0.00244
   0.01250	   0.00244
   0.01254	   0.00244
   0.01257	   0.00244
   0.01260	   0.00245
   0.01264	   0.00245
   0.01267	   0.00245
   0.01271	   0.00244
   0.01274	   0.00244
   0.01277	   0.00245
   0.01281	   0.00245
   0.01284	   0.00245
   0.01287	   0.00244
   0.01291	   0.00244
   0.01294	   0.00244
   0.01298	   0.00245
   0.01301	   0.00244
   0.01304	   0.00244
   0.01308	   0.00244
   0.01311	   0.00243
   0.01315	   0.00243
   0.01318	   0.00244
   0.01321	   0.00243
   0.01325	   0.00242
   0.01328	   0.00243
   0.01331	   0.00243
   0.01335	   0.00244
   0.01338	   0.00243
   0.01341	   0.00243
   0.01345	   0.00243
   0.01348	   0.00244
   0.01351	   0.00244
   0.01355	   0.00244
   0.01358	   0.00244
   0.01362	   0.00244
   0.01365	   0.00244
   0.01368	   0.00244
   0.01372	   0.00244
   0.01375	   0.00244
   0.01379	   0.00244
   0.01382	   0.00244
   0.01385	   0.00244
   0.01389	   0.00243
   0.01392	   0.00243
   0.01395	   0.00244
   0.01399	   0.00243
   0.01402	   0.00243
   0.01405	   0.00243
   0.01409	   0.00244
   0.01412	   0.00244
   0.01416	   0.00244
   0.01419	   0.00244
   0.01422	   0.00244
   0.01426	   0.00244
   0.01429	   0.00244
   0.01432	   0.00244
   0.01436	   0.00244
   0.01439	   0.00244
   0.01443	   0.00244
   0.01446	   0.00244
   0.01449	   0.00244
   0.01453	   0.00244
   0.01456	   0.00245
   0.01459	   0.00244
   0.01463	   0.00245
   0.01466	   0.00245
   0.01469	   0.00246
   0.01473	   0.00246
   0.01476	   0.00245
   0.01480	   0.00246
   0.01483	   0.00246
   0.01486	   0.00246
   0.01490	   0.00245
   0.01493	   0.00246
   0.01496	   0.00246
   0.01500	   0.00246
   0.01503	   0.00246
   0.01507	   0.00246
   0.01510	   0.00246
   0.01513	   0.00246
   0.01517	   0.00246
   0.01520	   0.00247
   0.01523	   0.00247
   0.01527	   0.00246
   0.01530	   0.00246
   0.01533	   0.00246
   0.01537	   0.00246
   0.01540	   0.00246
   0.01544	   0.00247
   0.01547	   0.00246
   0.01550	   0.00247
   0.01554	   0.00247
   0.01557	   0.00247
   0.01561	   0.00247
   0.01564	   0.00247
   0.01567	   0.00247
   0.01571	   0.00247
   0.01574	   0.00248
   0.01577	   0.00248
   0.01581	   0.00248
   0.01584	   0.00248
   0.01588	   0.00248
   0.01591	   0.00247
   0.01594	   0.00246
   0.01598	   0.00247
   0.01601	   0.00249
   0.01604	   0.00249
   0.01608	   0.00249
   0.01611	   0.00249
   0.01614	   0.00249
   0.01618	   0.00248
   0.01621	   0.00248
   0.01624	   0.00248
   0.01628	   0.00248
   0.01631	   0.00249
   0.01635	   0.00249
   0.01638	   0.00249
   0.01641	   0.00250
   0.01645	   0.00250
   0.01648	   0.00249
   0.01651	   0.00249
   0.01655	   0.00250
   0.01658	   0.00250
   0.01662	   0.00250
   0.01665	   0.00251
   0.01668	   0.00251
   0.01672	   0.00251
   0.01675	   0.00251
   0.01679	   0.00250
   0.01682	   0.00250
   0.01685	   0.00251
   0.01689	   0.00251
   0.01692	   0.00251
   0.01695	   0.00250
   0.01699	   0.00251
   0.01702	   0.00251
   0.01705	   0.00251
   0.01709	   0.00251
   0.01712	   0.00250
   0.01716	   0.00250
   0.01719	   0.00250
   0.01722	   0.00251
   0.01726	   0.00252
   0.01729	   0.00252
   0.01732	   0.00251
   0.01736	   0.00251
   0.01739	   0.00251
   0.01742	   0.00251
   0.01746	   0.00251
   0.01749	   0.00251
   0.01753	   0.00250
   0.01756	   0.00251
   0.01759	   0.00251
   0.01763	   0.00250
   0.01766	   0.00250
   0.01769	   0.00250
   0.01773	   0.00249
   0.01776	   0.00249
   0.01780	   0.00249
   0.01783	   0.00249
   0.01786	   0.00249
   0.01790	   0.00249
   0.01793	   0.00249
   0.01796	   0.00248
   0.01800	   0.00248
   0.01803	   0.00249
   0.01807	   0.00249
   0.01810	   0.00249
   0.01813	   0.00248
   0.01817	   0.00248
   0.01820	   0.00248
   0.01823	   0.00248
   0.01827	   0.00247
   0.01830	   0.00247
   0.01834	   0.00248
   0.01837	   0.00248
   0.01840	   0.00248
   0.01844	   0.00248
   0.01847	   0.00248
   0.01850	   0.00248
   0.01854	   0.00249
   0.01857	   0.00248
   0.01861	   0.00248
   0.01864	   0.00247
   0.01867	   0.00246
   0.01871	   0.00247
   0.01874	   0.00247
   0.01877	   0.00249
   0.01881	   0.00248
   0.01884	   0.00247
   0.01887	   0.00247
   0.01891	   0.00247
   0.01894	   0.00247
   0.01897	   0.00247
   0.01901	   0.00247
   0.01904	   0.00247
   0.01908	   0.00247
   0.01911	   0.00247
   0.01914	   0.00247
   0.01918	   0.00247
   0.01921	   0.00247
   0.01925	   0.00247
   0.01928	   0.00247
   0.01931	   0.00247
   0.01935	   0.00247
   0.01938	   0.00247
   0.01941	   0.00247
   0.01945	   0.00247
   0.01948	   0.00247
   0.01952	   0.00247
   0.01955	   0.00247
   0.01958	   0.00247
   0.01962	   0.00247
   0.01965	   0.00247
   0.01968	   0.00247
   0.01972	   0.00247
   0.01975	   0.00247
   0.01978	   0.00247
   0.01982	   0.00247
   0.01985	   0.00247
   0.01988	   0.00248
   0.01992	   0.00247
   0.01995	   0.00247
   0.01999	   0.00247
   0.02002	   0.00247
